"Curso";"Unidade Curricular";"Turno";"Turma";"Inscritos no turno";"Dia da semana";"Hora início da aula";"Hora fim da aula";"Data da aula";"Sala atribuída à aula";"Lotação da sala"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"15/8/2022";"0S01";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"20/3/2023";"C4.08";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"22/8/2022";"0S01";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"20/3/2023";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"22/2/2023";"C4.02";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"24/10/2022";"0S01";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"27/3/2023";"C5.06";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"28/3/2023";"0S08";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Qui";"13:00:00";"14:30:00";"11/4/2023";"D1.02";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"5/4/2023";"0S08";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"7/10/2022";"Auditório B2.04";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"30/8/2022";"C5.01";"0"
"";"Arquitetura de Redes ";"03708PL13";"";"0";"Qua";"11:00:00";"12:30:00";"19/9/2022";"C7.09";"0"
"";"Segurança em Sistemas de Informação ";"SSIT01";"";"0";"Ter";"16:00:00";"17:30:00";"7/2/2023";"Auditório Afonso de Barros";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qui";"13:00:00";"14:30:00";"17/10/2022";"2E10";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"8/10/2022";"2E10";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"16/11/2022";"Auditório 1";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"21/3/2023";"0S08";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"18/10/2022";"1E08";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"23/2/2023";"1E02";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"29/8/2022";"0S01";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"17/3/2023";"C4.06";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"28/9/2022";"C5.01";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"13/9/2022";"0S01";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"14/9/2022";"1E08";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"16/8/2022";"C5.01";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"14/2/2023";"C5.07";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"16:00:00";"17:30:00";"19/9/2022";"2E05";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"21/10/2022";"Auditório B2.04";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"24/2/2023";"AA2.29";"0"
"";"Segurança em Sistemas de Informação ";"SSITP02";"";"0";"Ter";"16:00:00";"17:30:00";"14/2/2023";"Auditório Afonso de Barros";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"4/10/2022";"1E08";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"2/2/2023";"C5.06";"0"
"";"Segurança em Sistemas de Informação ";"SSITP02";"";"0";"Ter";"16:00:00";"17:30:00";"28/2/2023";"D1.01";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"3/4/2023";"C4.02";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"9/2/2023";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"10/1/2023";"AA2.29";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"13/9/2022";"0S01";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"16/10/2022";"1E08";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"10/1/2023";"0S01";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"19/3/2023";"C5.06";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"7/1/2023";"C5.07";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Qua";"10:30:00";"12:00:00";"8/1/2023";"Auditório 1NE03 - JJ Laginha";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"4/10/2022";"1E08";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"27/2/2023";"C4.06";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"13/3/2023";"C5.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"15/11/2022";"0S01";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"16:00:00";"17:30:00";"16/10/2022";"C5.09";"0"
"";"Segurança em Sistemas de Informação ";"SSIT01";"";"0";"Qui";"13:00:00";"14:30:00";"9/1/2023";"Auditório 2";"0"
"";"Segurança em Sistemas de Informação ";"SSITP02";"";"0";"Ter";"16:00:00";"17:30:00";"16/4/2023";"Auditório 0NE03 - Mário Murteira";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Qui";"13:00:00";"14:30:00";"4/4/2023";"D1.02";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"18/10/2022";"C5.01";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"4/10/2022";"C5.01";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Seg";"14:30:00";"16:00:00";"27/2/2023";"C5.06";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"17/9/2022";"C5.06";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"16/1/2023";"D1.12";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"3/4/2023";"C5.06";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"14/1/2023";"C5.07";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Seg";"14:30:00";"16:00:00";"13/1/2023";"C5.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"14/10/2022";"Auditório B2.04";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"29/10/2022";"1E04";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"9/1/2023";"D1.12";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"26/3/2023";"D1.06";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"7/10/2022";"Auditório B2.04";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"9/4/2023";"C5.07";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"24/9/2022";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"1/2/2023";"C4.02";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"12/3/2023";"C4.02";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"6/1/2023";"C4.06";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"10/9/2022";"C5.06";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"29/10/2022";"2E10";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"13:00:00";"14:30:00";"12/9/2022";"2E10";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Qui";"13:00:00";"14:30:00";"16/2/2023";"D1.02";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"27/8/2022";"2E10";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"24/2/2023";"0S01";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"6/2/2023";"C4.06";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"3/2/2023";"0S01";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"18/9/2022";"2E10";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"23/1/2023";"D1.12";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"11/10/2022";"Auditório 2";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"14/10/2022";"Auditório B2.04";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"15/1/2023";"C5.06";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Qui";"13:00:00";"14:30:00";"27/3/2023";"D1.02";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"2/10/2022";"1E08";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"13/8/2022";"Auditório 1";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"30/8/2022";"1E08";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"10/4/2023";"D1.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"17/10/2022";"0S01";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"15/1/2023";"C4.02";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"8/10/2022";"Auditório 1";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Ter";"09:30:00";"11:00:00";"6/11/2022";"0S02";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"27/8/2022";"Auditório 1";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"14/8/2022";"1E08";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"25/9/2022";"1E04";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"12/4/2023";"D1.12";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"3/10/2022";"0S01";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qui";"13:00:00";"14:30:00";"27/9/2022";"C2.01";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"9/10/2022";"1E08";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"21:30:00";"23:00:00";"6/11/2022";"";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"16/1/2023";"C5.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"27/9/2022";"0S01";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"21/9/2022";"C5.01";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"28/9/2022";"1E08";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"3/9/2022";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Ter";"13:00:00";"14:30:00";"2/4/2023";"AA2.29";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"22/10/2022";"1E04";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"18/9/2022";"1E04";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"17/1/2023";"AA2.29";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"26/8/2022";"Auditório B2.04";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"21/3/2023";"0S08";"0"
"";"Segurança em Sistemas de Informação ";"SSIT01";"";"0";"Ter";"16:00:00";"17:30:00";"14/1/2023";"Auditório Afonso de Barros";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"17/4/2023";"2E07";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"14/3/2023";"0S01";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"20/8/2022";"1E04";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"28/3/2023";"AA2.29";"0"
"";"Arquitetura de Redes ";"03708PL13";"";"0";"Qua";"11:00:00";"12:30:00";"14/11/2022";"C7.09";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"16:00:00";"17:30:00";"14/11/2022";"2E04";"0"
"";"Segurança em Sistemas de Informação ";"SSITP02";"";"0";"Ter";"16:00:00";"17:30:00";"23/4/2023";"Auditório Silva Leal";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Ter";"11:00:00";"12:30:00";"6/11/2022";"0S02";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"14/9/2022";"C5.01";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"16:00:00";"17:30:00";"28/8/2022";"2E10";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"8/1/2023";"2E05";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"24/2/2023";"0S01";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"13/2/2023";"C4.06";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"7/2/2023";"C5.07";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Seg";"14:30:00";"16:00:00";"8/4/2023";"C5.06";"0"
"";"Arquitetura de Redes ";"03708PL13";"";"0";"Qua";"11:00:00";"12:30:00";"12/9/2022";"C7.09";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"8/2/2023";"C5.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"10/10/2022";"0S01";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"14/9/2022";"1E08";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Seg";"14:30:00";"16:00:00";"19/8/2022";"C4.07";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"28/1/2023";"C5.07";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Seg";"14:30:00";"16:00:00";"27/1/2023";"C5.06";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Ter";"13:00:00";"14:30:00";"6/11/2022";"Auditório 1";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"23/10/2022";"1E08";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"28/8/2022";"1E08";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"5/4/2023";"0S08";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"22/8/2022";"0S01";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Seg";"14:30:00";"16:00:00";"15/4/2023";"C5.06";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"15/2/2023";"C5.06";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"7/9/2022";"C6.08";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"20/9/2022";"0S01";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"16/2/2023";"C5.06";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"28/10/2022";"C5.06";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Seg";"14:30:00";"16:00:00";"6/1/2023";"C5.06";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"28/2/2023";"C5.07";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Seg";"13:00:00";"14:30:00";"13/2/2023";"D1.09";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"9/11/2022";"1E08";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"10/2/2023";"0S01";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"25/9/2022";"2E10";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"5/4/2023";"AA2.29";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Qui";"13:00:00";"14:30:00";"30/2/2023";"D1.02";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"29/8/2022";"0S01";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"17/2/2023";"0S01";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"21/10/2022";"C5.06";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Seg";"14:30:00";"16:00:00";"24/3/2023";"C5.06";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"27/1/2023";"C4.06";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"11/10/2022";"1E08";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"21/3/2023";"AA2.29";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"23/2/2023";"C5.06";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"15/1/2023";"2E07";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"17/10/2022";"0S01";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"18/3/2023";"C5.07";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"26/3/2023";"C4.02";"0"
"";"Arquitetura de Redes ";"03708PL13";"";"0";"Qua";"11:00:00";"12:30:00";"26/9/2022";"C7.09";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"19/8/2022";"Auditório B2.04";"0"
"";"Segurança em Sistemas de Informação ";"SSITP02";"";"0";"Ter";"16:00:00";"17:30:00";"9/4/2023";"Auditório 0NE03 - Mário Murteira";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"26/8/2022";"Auditório B2.04";"0"
